System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:18:16:275, 13519717065279,    0.112,   14.000, 2800,  11.567,   1.301,   0.361,   9.066,   1.020,   0.283, 52,  0,   0.034,   0.004,   0.001,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:16:435, 13520052312914,    0.272,   14.000, 2800,  13.627,   3.481,   0.967,  11.194,   2.811,   0.781, 52,  0,   0.016,   0.006,   0.002,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:16:595, 13520387542674,    0.432,   13.000, 2800,  12.750,   5.521,   1.534,  10.392,   4.473,   1.243, 53,  0,   0.000,   0.006,   0.002,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:16:754, 13520720667174,    0.591,   13.000, 2800,  13.395,   7.651,   2.125,  11.012,   6.224,   1.729, 53,  0,   0.000,   0.006,   0.002,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:16:882, 13520988856950,    0.719,   13.000, 2800,  12.952,   9.309,   2.586,  10.580,   7.579,   2.105, 54,  0,   0.000,   0.006,   0.002,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:17:026, 13521290598927,    0.863,   14.000, 2800,  13.385,  11.236,   3.121,  10.992,   9.161,   2.545, 53,  0,   0.003,   0.007,   0.002,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:17:168, 13521588122385,    1.005,   13.000, 2800,  12.825,  13.058,   3.627,  10.426,  10.642,   2.956, 53,  0,   0.003,   0.007,   0.002,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:17:328, 13521923345697,    1.165,   13.000, 2800,  13.034,  15.143,   4.206,  10.650,  12.346,   3.429, 53,  0,   0.000,   0.007,   0.002,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:17:487, 13522256509750,    1.324,   14.000, 2800,  13.247,  17.249,   4.791,  10.837,  14.069,   3.908, 55,  0,   0.016,   0.010,   0.003,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:17:647, 13522591784848,    1.484,   13.000, 2800,  12.821,  19.301,   5.361,  10.419,  15.736,   4.371, 54,  0,   0.006,   0.011,   0.003,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:17:807, 13522926963417,    1.644,   13.000, 2800,  13.057,  21.390,   5.942,  10.687,  17.446,   4.846, 54,  0,   0.000,   0.011,   0.003,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:17:967, 13523262210417,    1.804,   12.000, 2800,  12.841,  23.444,   6.512,  10.465,  19.121,   5.311, 54,  0,   0.000,   0.011,   0.003,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:18:159, 13523664494052,    1.996,   13.000, 2800,  12.980,  25.936,   7.205,  10.584,  21.153,   5.876, 54,  0,   0.004,   0.012,   0.003,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:18:319, 13523999827606,    2.157,   14.000, 2800,  13.484,  28.094,   7.804,  11.028,  22.918,   6.366, 58,  0,   0.011,   0.013,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:18:511, 13524402256551,    2.349,   15.000, 2800,  13.747,  30.735,   8.537,  11.316,  25.091,   6.970, 56,  0,   0.012,   0.016,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:18:655, 13524703855556,    2.493,   13.000, 2800,  13.317,  32.652,   9.070,  10.939,  26.666,   7.407, 56,  0,   0.000,   0.016,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:18:815, 13525039091334,    2.653,   13.000, 2800,  13.171,  34.759,   9.655,  10.805,  28.395,   7.887, 56,  0,   0.000,   0.016,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:18:975, 13525374329878,    2.813,   13.000, 2800,  13.226,  36.875,  10.243,  10.851,  30.131,   8.370, 56,  0,   0.000,   0.016,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:19:135, 13525709555937,    2.973,   13.000, 2800,  13.243,  38.994,  10.832,  10.876,  31.871,   8.853, 57,  0,   0.000,   0.016,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:19:295, 13526044830458,    3.133,   13.000, 2800,  13.337,  41.128,  11.424,  10.929,  33.620,   9.339, 57,  0,   0.007,   0.017,   0.005,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:18:19:455, 13526380064709,    3.293,   14.000, 2800,  13.857,  43.345,  12.040,  11.435,  35.449,   9.847, 57,  0,   0.012,   0.019,   0.005,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
