System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:32:03:891, 15253770422904,    0.114,   15.000, 2800,  11.483,   1.305,   0.362,   8.655,   0.984,   0.273, 53,  0,   0.217,   0.025,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:32:04:034, 15254070095553,    0.257,   12.000, 2800,  13.443,   3.228,   0.897,  11.060,   2.565,   0.713, 56,  0,   0.000,   0.025,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:32:04:194, 15254405250921,    0.417,   12.000, 2800,  13.496,   5.386,   1.496,  11.110,   4.343,   1.206, 58,  0,   0.000,   0.025,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:32:04:354, 15254740505966,    0.577,   12.000, 2800,  13.334,   7.520,   2.089,  10.948,   6.094,   1.693, 56,  0,   0.000,   0.025,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:32:04:513, 15255073729083,    0.736,   12.000, 2800,  13.306,   9.636,   2.677,  10.918,   7.831,   2.175, 56,  0,   0.011,   0.026,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:32:04:673, 15255408938988,    0.896,   12.000, 2800,  13.440,  11.786,   3.274,  11.033,   9.596,   2.666, 58,  0,   0.000,   0.026,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:32:04:833, 15255744112398,    1.056,   12.000, 2800,  13.290,  13.913,   3.865,  10.915,  11.342,   3.151, 57,  0,   0.000,   0.026,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:32:04:993, 15256079441553,    1.216,   12.000, 2800,  13.510,  16.075,   4.465,  11.116,  13.121,   3.645, 57,  0,   0.000,   0.026,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:32:05:165, 15256440169756,    1.388,    3.000, 1200,   7.744,  17.408,   4.836,   5.171,  14.011,   3.892, 45,  0,   0.095,   0.043,   0.012,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:32:05:166, 15256442120411,    1.389,   16.000, 1200,   4.524,  17.412,   4.837,   2.229,  14.013,   3.893, 46,  0,   0.000,   0.043,   0.012,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.388764
Measured RDTSC Frequency (GHz) = 2.095

Cumulative Processor Energy_0 (Joules) = 17.412170
Cumulative Processor Energy_0 (mWh) = 4.836714
Average Processor Power_0 (Watt) = 12.537886

Cumulative IA Energy_0 (Joules) = 14.013382
Cumulative IA Energy_0 (mWh) = 3.892606
Average IA Power_0 (Watt) = 10.090539

Cumulative GT Energy_0 (Joules) = 0.042755
Cumulative GT Energy_0 (mWh) = 0.011876
Average GT Power_0 (Watt) = 0.030786
