System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:01:07:014, 11363169938779,    0.110,   13.000, 2800,  13.288,   1.467,   0.407,  10.681,   1.179,   0.327, 56,  0,   0.127,   0.014,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:07:174, 11363505086412,    0.270,   13.000, 2800,  12.936,   3.536,   0.982,  10.557,   2.868,   0.797, 56,  0,   0.000,   0.014,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:07:333, 11363838243027,    0.429,   14.000, 2800,  13.451,   5.675,   1.576,  11.051,   4.625,   1.285, 55,  0,   0.000,   0.014,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:07:493, 11364173476539,    0.589,   13.000, 2800,  12.955,   7.747,   2.152,  10.566,   6.315,   1.754, 56,  0,   0.000,   0.014,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:07:652, 11364506606181,    0.748,   12.000, 2800,  12.816,   9.785,   2.718,  10.445,   7.976,   2.216, 56,  0,   0.000,   0.014,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:07:812, 11364841853451,    0.908,   13.000, 2800,  13.093,  11.880,   3.300,  10.672,   9.684,   2.690, 57,  0,   0.014,   0.016,   0.005,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:07:955, 11365141470735,    1.051,   14.000, 2800,  13.442,  13.802,   3.834,  11.001,  11.257,   3.127, 59,  0,   0.014,   0.018,   0.005,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:08:099, 11365443183060,    1.195,   13.000, 2800,  13.039,  15.680,   4.355,  10.666,  12.793,   3.553, 57,  0,   0.000,   0.018,   0.005,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:08:259, 11365778482776,    1.355,   13.000, 2800,  13.039,  17.766,   4.935,  10.654,  14.497,   4.027, 57,  0,   0.000,   0.018,   0.005,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:08:418, 11366111570715,    1.514,   14.000, 2800,  13.368,  19.891,   5.525,  10.952,  16.239,   4.511, 57,  0,   0.007,   0.019,   0.005,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:08:578, 11366446773009,    1.674,   12.000, 2800,  12.781,  21.936,   6.093,  10.396,  17.902,   4.973, 57,  0,   0.000,   0.019,   0.005,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:08:738, 11366782106715,    1.834,   13.000, 2800,  12.815,  23.987,   6.663,  10.430,  19.571,   5.436, 57,  0,   0.000,   0.019,   0.005,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:08:898, 11367117286128,    1.994,   23.000, 2800,  16.027,  26.551,   7.375,  13.459,  21.724,   6.034, 56,  0,   0.018,   0.022,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:01:09:058, 11367452509044,    2.154,   12.000, 2800,  13.710,  28.745,   7.985,  11.308,  23.533,   6.537, 57,  0,   0.000,   0.022,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
