System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:40:34:558, 16323739339664,    0.106,   13.000, 2800,  11.488,   1.219,   0.339,   8.841,   0.938,   0.261, 60,  0,   0.114,   0.012,   0.003,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:34:686, 16324007568440,    0.234,   12.000, 2800,  13.154,   2.903,   0.806,  10.759,   2.316,   0.643, 61,  0,   0.000,   0.012,   0.003,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:34:814, 16324275771008,    0.362,   12.000, 2800,  13.467,   4.627,   1.285,  11.068,   3.732,   1.037, 59,  0,   0.000,   0.012,   0.003,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:34:942, 16324543946424,    0.490,   12.000, 2800,  13.189,   6.315,   1.754,  10.789,   5.113,   1.420, 62,  0,   0.000,   0.012,   0.003,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:35:070, 16324812151430,    0.618,   13.000, 2800,  13.090,   7.991,   2.220,  10.704,   6.483,   1.801, 63,  0,   0.000,   0.012,   0.003,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:35:198, 16325080355162,    0.746,   13.000, 2800,  13.677,   9.741,   2.706,  11.270,   7.926,   2.202, 60,  0,   0.000,   0.012,   0.003,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:35:325, 16325346427685,    0.873,   12.000, 2800,  13.020,  11.395,   3.165,  10.590,   9.271,   2.575, 62,  0,   0.009,   0.013,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:35:452, 16325612521967,    1.000,   12.000, 2800,  12.972,  13.042,   3.623,  10.575,  10.614,   2.948, 63,  0,   0.000,   0.013,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:35:579, 16325878687022,    1.127,   12.000, 2800,  12.918,  14.683,   4.079,  10.540,  11.953,   3.320, 63,  0,   0.000,   0.013,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:35:707, 16326146803577,    1.255,   12.000, 2800,  12.996,  16.346,   4.541,  10.599,  13.309,   3.697, 63,  0,   0.000,   0.013,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:35:834, 16326412902710,    1.382,   12.000, 2800,  13.041,  18.003,   5.001,  10.616,  14.657,   4.072, 63,  0,   0.007,   0.014,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:35:962, 16326681164282,    1.510,   12.000, 2800,  12.914,  19.656,   5.460,  10.534,  16.006,   4.446, 63,  0,   0.000,   0.014,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:36:090, 16326949225055,    1.638,   12.000, 2800,  13.363,  21.366,   5.935,  10.958,  17.408,   4.836, 62,  0,   0.000,   0.014,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:36:218, 16327217469677,    1.766,   12.000, 2800,  13.368,  23.077,   6.410,  10.967,  18.812,   5.226, 63,  0,   0.000,   0.014,   0.004,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
