System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:40:41:072, 16337388166859,    0.104,   15.000, 2800,  13.606,   1.419,   0.394,  10.794,   1.126,   0.313, 63,  0,   0.211,   0.022,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:41:184, 16337622835881,    0.216,   12.000, 2800,  13.602,   2.942,   0.817,  11.154,   2.375,   0.660, 61,  0,   0.022,   0.025,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:41:359, 16337989492878,    0.391,   12.000, 2800,  13.194,   5.251,   1.459,  10.812,   4.267,   1.185, 61,  0,   0.000,   0.025,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:41:519, 16338324738966,    0.551,   12.000, 2800,  13.340,   7.386,   2.052,  10.948,   6.019,   1.672, 61,  0,   0.000,   0.025,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:41:678, 16338657876213,    0.710,   12.000, 2800,  13.381,   9.513,   2.643,  10.953,   7.760,   2.156, 61,  0,   0.015,   0.027,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:41:838, 16338993102864,    0.870,   12.000, 2800,  13.273,  11.637,   3.232,  10.894,   9.503,   2.640, 61,  0,   0.000,   0.027,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:41:998, 16339328365653,    1.030,   12.000, 2800,  13.337,  13.771,   3.825,  10.943,  11.254,   3.126, 61,  0,   0.000,   0.027,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:42:157, 16339661522164,    1.189,   14.000, 2800,  13.689,  15.948,   4.430,  11.264,  13.045,   3.624, 60,  0,   0.006,   0.028,   0.008,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:42:269, 16339896179115,    1.301,    9.000, 2800,  10.416,  17.114,   4.754,   7.783,  13.917,   3.866, 54,  0,   0.127,   0.042,   0.012,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:40:42:270, 16339899508452,    1.303,   15.000, 1200,  12.292,  17.134,   4.759,   7.308,  13.928,   3.869, 54,  0,   1.488,   0.044,   0.012,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.302887
Measured RDTSC Frequency (GHz) = 2.095

Cumulative Processor Energy_0 (Joules) = 17.133682
Cumulative Processor Energy_0 (mWh) = 4.759356
Average Processor Power_0 (Watt) = 13.150554

Cumulative IA Energy_0 (Joules) = 13.928360
Cumulative IA Energy_0 (mWh) = 3.868989
Average IA Power_0 (Watt) = 10.690384

Cumulative GT Energy_0 (Joules) = 0.044449
Cumulative GT Energy_0 (mWh) = 0.012347
Average GT Power_0 (Watt) = 0.034116
