System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:31:57:259, 15239876003760,    0.116,   16.000, 2800,  12.718,   1.478,   0.411,   9.955,   1.157,   0.321, 54,  0,   0.185,   0.022,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:31:57:371, 15240110714742,    0.228,   12.000, 2800,  13.467,   2.987,   0.830,  11.045,   2.394,   0.665, 56,  0,   0.014,   0.023,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:31:57:531, 15240445990215,    0.388,   12.000, 2800,  13.271,   5.111,   1.420,  10.891,   4.137,   1.149, 57,  0,   0.000,   0.023,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:31:57:691, 15240781155012,    0.548,   12.000, 2800,  13.213,   7.224,   2.007,  10.847,   5.872,   1.631, 58,  0,   0.000,   0.023,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:31:57:851, 15241116400998,    0.708,   12.000, 2800,  13.303,   9.353,   2.598,  10.918,   7.619,   2.116, 57,  0,   0.000,   0.023,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:31:58:011, 15241451722761,    0.868,   12.000, 2800,  13.379,  11.494,   3.193,  10.995,   9.379,   2.605, 56,  0,   0.000,   0.023,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:31:58:170, 15241784787141,    1.027,   12.000, 2800,  13.357,  13.617,   3.783,  10.953,  11.120,   3.089, 57,  0,   0.012,   0.025,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:31:58:330, 15242120024796,    1.187,   12.000, 2800,  13.321,  15.749,   4.375,  10.932,  12.869,   3.575, 57,  0,   0.000,   0.025,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:31:58:489, 15242452815473,    1.346,    5.000, 1200,   9.651,  17.281,   4.800,   7.097,  13.996,   3.888, 46,  0,   0.101,   0.041,   0.011,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:31:58:490, 15242455184798,    1.347,   15.000, 1200,   3.913,  17.286,   4.802,   1.795,  13.998,   3.888, 47,  0,   0.000,   0.041,   0.011,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.347214
Measured RDTSC Frequency (GHz) = 2.095

Cumulative Processor Energy_0 (Joules) = 17.285904
Cumulative Processor Energy_0 (mWh) = 4.801640
Average Processor Power_0 (Watt) = 12.830848

Cumulative IA Energy_0 (Joules) = 13.998230
Cumulative IA Energy_0 (mWh) = 3.888397
Average IA Power_0 (Watt) = 10.390499

Cumulative GT Energy_0 (Joules) = 0.041183
Cumulative GT Energy_0 (mWh) = 0.011440
Average GT Power_0 (Watt) = 0.030569
