System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:38:07:032, 16014637818248,    0.113,   24.000, 2800,  18.297,   2.063,   0.573,  15.383,   1.734,   0.482, 59,  0,   0.190,   0.021,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:38:07:176, 16014939555137,    0.257,   20.000, 2800,  15.687,   4.322,   1.201,  13.185,   3.633,   1.009, 61,  0,   0.011,   0.023,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:38:07:303, 16015205585684,    0.384,   12.000, 2800,  13.545,   6.042,   1.678,  11.147,   5.049,   1.402, 61,  0,   0.000,   0.023,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:38:07:463, 16015540905731,    0.544,   12.000, 2800,  13.467,   8.197,   2.277,  11.083,   6.822,   1.895, 61,  0,   0.000,   0.023,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:38:07:622, 16015873971282,    0.703,   12.000, 2800,  13.565,  10.353,   2.876,  11.169,   8.598,   2.388, 60,  0,   0.000,   0.023,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:38:07:782, 16016209150119,    0.863,   24.000, 2800,  16.596,  13.008,   3.613,  14.148,  10.861,   3.017, 61,  0,   0.000,   0.023,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:38:07:941, 16016542431810,    1.022,   29.000, 2800,  19.365,  16.088,   4.469,  16.834,  13.539,   3.761, 62,  0,   0.000,   0.023,   0.006,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:38:08:067, 16016806359891,    1.148,   12.000, 2800,  13.632,  17.806,   4.946,  11.152,  14.944,   4.151, 63,  0,   0.016,   0.025,   0.007,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:38:08:225, 16017137619021,    1.306,   10.000, 2800,  12.329,  19.755,   5.487,   9.797,  16.492,   4.581, 52,  0,   0.088,   0.039,   0.011,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000
19:38:08:225, 16017138631089,    1.306,   11.000, 2800,   0.000,  19.755,   5.487,   0.000,  16.492,   4.581, 53,  0,   0.000,   0.039,   0.011,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.306322
Measured RDTSC Frequency (GHz) = 2.095

Cumulative Processor Energy_0 (Joules) = 19.754791
Cumulative Processor Energy_0 (mWh) = 5.487442
Average Processor Power_0 (Watt) = 15.122453

Cumulative IA Energy_0 (Joules) = 16.492416
Cumulative IA Energy_0 (mWh) = 4.581227
Average IA Power_0 (Watt) = 12.625079

Cumulative GT Energy_0 (Joules) = 0.038879
Cumulative GT Energy_0 (mWh) = 0.010800
Average GT Power_0 (Watt) = 0.029762
