Opt.,Exec. Time(s),Average Freq. (GHz),Average Power Dissipation(W),Energy Consumption (J)
autovect_o1,0.850042,1.992,19.407509,16.497192
autovect_os,0.792814,1.992,19.503817,15.462891
autovect_o2,0.760291,1.992,19.270662,14.651306
autovect_o2_omp,0.514961,1.992,27.605970,14.216003
autovect_o3_wvec,0.773919,1.992,20.735427,16.047546
autovect_o3,0.751377,1.992,18.578676,13.959595
autovect_ofast,0.831632,1.992,21.895713,18.209167
autovect_o3_wvec_omp,0.535934,1.992,29.626209,15.877686
autovect_o3_omp,0.388374,1.992,23.113335,8.976624
autovect_ofast_omp,0.523994,1.992,23.051527,12.078857
autovect_ofast_1,0.654416,1.992,19.645671,12.856445
autovect_ofast_1_omp,0.519013,1.992,19.794524,10.273621
